28,PCA ,Yes,Yes,Yes,Yes,Yes,Yes,1,[1] [43] [3] [7] [56] [5] [8] [11]
29,LDA ,Null,Null,Null,Null,Yes,Null,2,[5]
30,Classical MDS ,Null,Yes,Yes,Yes,Yes,Yes,3,[1] [43] [3] [7] [56] [5] [8]
31, NLM ,Null,Null,Yes,Null,Yes,Null,5,[3] [5]
32,FastMap  ,Null,Null,Yes,Null,Null,Null,9,[3]
33,Chalmers ,Null,Null,Yes,Null,Null,Null,10,[3]
34,GTM,Null,Null,Null,Yes,Null,Yes,11,[6] [9]
35,LLE ,Yes,Yes,Yes,Yes,Yes,Yes,14,[1] [43] [3] [7] [56] [5] [8] [11]
36, Isomap ,Yes,Yes,Yes,Yes,Yes,Yes,15,[1] [43] [3] [7] [56] [5] [8] [11]
37, LTSA ,Null,Yes,Yes,Yes,Yes,Null,18,[1] [43] [7] [56] [5] 
38,LSP,Null,Null,Yes,Null,Null,Null,20,[3]
39, SNE ,Null,Null,Null,Null,Yes,Null,21,[5]
40,PLMP,Null,Null,Yes,Null,Null,Null,22,[3]
41,LAMP ,Null,Null,Yes,Yes,Null,Null,23,[3] [4]
